Numero de Orden
 'CA-2018-116939' 'CA-2018-161557' 'CA-2016-136728' 'CA-2016-115399'
 'CA-2017-160108' 'CA-2018-110198']"
"['CA-2018-164000' 'CA-2017-162747' 'CA-2015-113768' 'US-2015-158400'
 'CA-2015-122070' 'CA-2015-157644' 'CA-2016-130113']"
"['CA-2017-149797' 'CA-2018-165029' 'CA-2018-118857' 'CA-2015-160066'
 'CA-2018-145702' 'CA-2018-112004' 'CA-2016-161795' 'CA-2017-147109'
 'CA-2018-125451' 'CA-2017-144015']"
"['CA-2015-123295' 'CA-2018-150987' 'CA-2017-145261' 'CA-2018-131632'
 'CA-2018-151211' 'CA-2018-107958' 'CA-2017-135594']"
['CA-2017-112697' 'CA-2018-154732' 'CA-2016-125185' 'CA-2018-123043']
"['CA-2016-155040' 'CA-2018-147956' 'CA-2017-166485' 'CA-2015-153983'
 'CA-2018-104080' 'CA-2016-165050' 'CA-2018-166919' 'US-2018-148831'
 'CA-2018-146983']"
"['CA-2018-115546' 'CA-2016-141243' 'CA-2017-126165' 'CA-2016-151547'
 'CA-2018-145275']"
['CA-2018-109715' 'CA-2015-162278' 'US-2018-152492' 'CA-2017-160479']
"['CA-2017-158869' 'CA-2016-113628' 'CA-2017-148740' 'CA-2017-113831'
 'CA-2016-166604' 'CA-2016-110548' 'CA-2016-112214' 'CA-2016-139780'
 'CA-2017-138282' 'CA-2017-144148' 'CA-2015-160276' 'CA-2017-145709']"
"['US-2018-160759' 'CA-2018-116855' 'CA-2017-158694' 'CA-2015-159709'
 'CA-2018-155929' 'CA-2018-107552' 'CA-2015-102330' 'CA-2015-131387'
 'CA-2016-158918' 'CA-2016-167479']"
"['CA-2015-149020' 'CA-2017-123617' 'CA-2018-111577' 'CA-2015-141313'
 'US-2018-133361' 'CA-2015-108609' 'CA-2016-165554']"
"['CA-2015-106810' 'CA-2017-134474' 'CA-2017-138079' 'CA-2015-110786'
 'CA-2017-123015' 'CA-2018-142342' 'CA-2017-123946']"
"['CA-2015-155852' 'CA-2018-133004' 'CA-2017-115378' 'US-2016-132836'
 'CA-2016-164497' 'CA-2016-126347']"
['CA-2015-113362' 'CA-2018-123246' 'CA-2015-131800']
"['CA-2017-157000' 'CA-2018-109701' 'CA-2015-132542' 'US-2016-107944'
 'CA-2018-161340']"
"['CA-2017-145905' 'CA-2016-100573' 'CA-2015-145387' 'US-2018-124821'
 'CA-2018-157903' 'CA-2018-104731' 'CA-2016-138457' 'CA-2016-151470']"
['CA-2017-148096']
"['CA-2015-127964' 'CA-2017-154403' 'US-2017-114174' 'US-2016-165449'
 'CA-2017-120250' 'CA-2018-143021']"
"['CA-2018-146136' 'CA-2015-146969' 'CA-2017-128412' 'US-2018-132059'
 'CA-2015-113047' 'US-2017-164588' 'CA-2017-168893' 'CA-2018-168228'
 'CA-2015-105270' 'CA-2015-124737']"
['CA-2018-126438' 'CA-2018-126396' 'US-2015-115189' 'CA-2016-139374']
"['US-2018-134481' 'CA-2018-140844' 'CA-2015-157882' 'CA-2016-164427'
 'CA-2018-149468']"
"['US-2015-105767' 'CA-2016-112319' 'CA-2018-111808' 'CA-2017-147536'
 'CA-2015-115056']"
"['CA-2018-154935' 'CA-2016-123505' 'CA-2015-122588' 'CA-2017-138037'
 'CA-2018-138289' 'US-2016-136987']"
['CA-2017-157588']
"['CA-2017-160745' 'US-2017-148110' 'CA-2015-109218' 'CA-2016-160213'
 'CA-2018-141425' 'CA-2018-118724' 'CA-2017-132304' 'US-2018-108343']"
"['CA-2018-113481' 'CA-2017-162901' 'CA-2018-162691' 'CA-2018-101749'
 'US-2015-150126' 'US-2018-147655' 'CA-2017-148747']"
"['US-2018-108063' 'CA-2016-127509' 'CA-2018-145877' 'CA-2018-136448'
 'CA-2017-119865' 'CA-2017-150007' 'CA-2017-104311' 'CA-2015-132913'
 'CA-2015-156160']"
['CA-2018-162929' 'CA-2017-149461']
"['CA-2016-144253' 'CA-2015-110408' 'CA-2018-112515' 'CA-2018-117926'
 'CA-2017-143154']"
"['CA-2015-149958' 'CA-2018-101049' 'CA-2017-118913' 'CA-2016-150749'
 'CA-2015-128538']"
"['CA-2017-134775' 'CA-2017-163755' 'US-2017-106677' 'CA-2018-149706'
 'CA-2017-114209' 'US-2017-164196']"
"['CA-2018-100314' 'CA-2018-124597' 'CA-2015-162684' 'US-2016-146745'
 'US-2017-155404' 'CA-2015-101392' 'US-2018-129224']"
"['CA-2015-120243' 'CA-2017-100468' 'CA-2018-102407' 'CA-2018-106355'
 'CA-2016-133977']"
"['CA-2018-153787' 'CA-2018-135034' 'CA-2017-112893' 'CA-2015-146731'
 'CA-2018-103443' 'CA-2016-123113' 'CA-2017-116603' 'CA-2015-146500'
 'CA-2018-106824' 'CA-2017-108210']"
['CA-2016-129112' 'CA-2018-143798' 'CA-2016-149678' 'CA-2018-123001']
"['US-2015-103905' 'CA-2017-136812' 'CA-2018-107321' 'CA-2017-163216'
 'CA-2016-144519' 'CA-2017-120824' 'US-2018-118157']"
['CA-2018-137428' 'CA-2015-102652' 'CA-2015-101427' 'CA-2017-139934']
"['CA-2015-148586' 'CA-2015-158442' 'CA-2016-130876' 'CA-2016-151253'
 'CA-2017-100993' 'CA-2018-110940']"
"['CA-2018-118136' 'CA-2017-103947' 'US-2018-112928' 'CA-2015-169642'
 'CA-2016-141810']"
"['CA-2018-130043' 'CA-2017-124506' 'CA-2017-155166' 'CA-2018-102379'
 'CA-2018-158561' 'CA-2017-169838' 'US-2018-118941' 'CA-2016-107083'
 'CA-2016-115168']"
"['US-2018-120418' 'CA-2018-113530' 'CA-2017-143910' 'CA-2015-113859'
 'CA-2015-147543' 'US-2017-134369' 'CA-2017-123050' 'CA-2017-149335'
 'CA-2016-158351']"
"['CA-2017-136406' 'CA-2018-122735' 'CA-2018-117485' 'CA-2017-119165'
 'CA-2017-130680' 'CA-2017-148593' 'CA-2018-107125' 'CA-2018-158071'
 'CA-2016-120677' 'CA-2016-121699' 'CA-2017-167241' 'CA-2017-110086']"
"['CA-2015-140795' 'CA-2016-117828' 'US-2018-133312' 'US-2018-105935'
 'US-2015-151015' 'CA-2016-167696']"
['CA-2018-124716' 'CA-2016-163923']
"['CA-2016-158792' 'CA-2018-144694' 'CA-2017-112102' 'US-2016-123960'
 'CA-2015-157147' 'CA-2017-105746']"
"['CA-2017-157686' 'CA-2017-100202' 'CA-2018-130211' 'CA-2017-111941'
 'CA-2017-111976' 'CA-2015-152254']"
['CA-2018-109589' 'CA-2015-152422' 'CA-2016-110814']
"['CA-2016-128139' 'CA-2017-165015' 'CA-2018-168396' 'CA-2018-101574'
 'CA-2018-125472' 'CA-2018-146192']"
"['CA-2017-148698' 'CA-2017-124667' 'US-2017-122182' 'CA-2018-115105'
 'CA-2018-145338' 'CA-2017-165918']"
"['CA-2018-137596' 'CA-2018-155985' 'US-2018-105046' 'CA-2017-128307'
 'CA-2017-166912']"
"['CA-2017-161662' 'CA-2018-121314' 'CA-2017-125220' 'CA-2017-108630'
 'CA-2018-141782']"
"['CA-2017-140774' 'CA-2017-118052' 'CA-2016-122406' 'CA-2016-115924'
 'US-2017-146857']"
"['CA-2015-117345' 'CA-2016-116750' 'CA-2017-100041' 'CA-2016-137281'
 'CA-2016-116260' 'CA-2015-109904' 'US-2018-120908']"
['CA-2018-103380' 'CA-2017-137729' 'CA-2015-141355' 'US-2017-105452']
"['CA-2018-133333' 'CA-2017-159940' 'CA-2017-156265' 'CA-2018-134495'
 'US-2018-124779' 'CA-2015-165568' 'CA-2018-114804' 'CA-2016-145758']"
['CA-2018-140676' 'CA-2015-163013' 'CA-2018-117128']
"['CA-2015-110184' 'US-2017-120460' 'CA-2017-149111' 'US-2018-119039'
 'US-2015-138247' 'US-2016-113327' 'CA-2015-167724' 'CA-2017-162348'
 'CA-2016-145835' 'CA-2018-151799' 'CA-2017-159891']"
['CA-2018-106859' 'CA-2017-154662' 'CA-2015-103219' 'CA-2018-102729']
['CA-2015-148040' 'CA-2018-161130' 'CA-2018-169012']
"['CA-2018-117198' 'CA-2016-120901' 'CA-2018-165715' 'CA-2015-155390'
 'CA-2016-141565' 'CA-2017-134110' 'CA-2018-169005' 'US-2015-114377']"
"['CA-2017-153682' 'CA-2018-121412' 'US-2017-162852' 'CA-2015-127523'
 'CA-2016-108588' 'CA-2018-105543']"
"['CA-2018-119389' 'CA-2016-154200' 'CA-2017-145240' 'CA-2017-165995'
 'CA-2015-164749' 'CA-2018-135419']"
"['CA-2015-115812' 'CA-2018-112865' 'CA-2017-112123' 'CA-2018-127306'
 'CA-2016-149300' 'US-2016-130491' 'CA-2018-135587' 'US-2015-140914']"
"['CA-2015-125612' 'CA-2016-113110' 'CA-2017-130799' 'US-2015-140452'
 'CA-2018-151183' 'CA-2018-117009']"
['CA-2015-139892' 'CA-2017-126004' 'CA-2018-121706' 'CA-2017-106278']
"['CA-2016-105102' 'CA-2017-160304' 'CA-2017-142615' 'CA-2018-165155'
 'CA-2018-155642' 'US-2018-129203']"
"['CA-2016-100454' 'CA-2018-102519' 'CA-2018-167101' 'CA-2018-149048'
 'CA-2015-125514' 'CA-2018-152912' 'US-2015-134733' 'CA-2015-165379'
 'CA-2017-163202' 'CA-2016-124107' 'CA-2018-121678']"
"['US-2016-157014' 'CA-2017-101966' 'CA-2015-133270' 'CA-2017-117660'
 'CA-2015-116568' 'CA-2017-105473' 'CA-2016-165813' 'CA-2018-152968'
 'CA-2015-106971' 'CA-2016-160787']"
['CA-2015-138527' 'CA-2016-106215' 'US-2018-149006' 'CA-2018-114370']
"['CA-2018-163405' 'CA-2015-118339' 'CA-2017-169943' 'CA-2018-131625'
 'CA-2015-103940']"
"['CA-2017-137204' 'CA-2018-144883' 'CA-2018-132199' 'CA-2018-128076'
 'CA-2017-105207']"
['CA-2018-158386' 'CA-2016-136658']
"['CA-2018-151596' 'CA-2017-160535' 'CA-2017-108364' 'CA-2018-143084'
 'US-2015-154655']"
"['US-2015-134971' 'CA-2017-156811' 'CA-2018-105445' 'CA-2018-160325'
 'CA-2018-137365' 'CA-2015-146990' 'CA-2015-137911' 'CA-2018-161851'
 'CA-2016-148180' 'CA-2016-138219' 'CA-2018-135377' 'CA-2015-162992']"
"['CA-2018-128629' 'CA-2018-147564' 'US-2018-154851' 'CA-2017-156139'
 'CA-2017-154767' 'CA-2016-158491']"
"['CA-2017-142902' 'CA-2018-167150' 'CA-2017-115574' 'US-2016-112508'
 'US-2018-140907' 'CA-2018-146626' 'CA-2017-158211' 'CA-2018-130036'
 'CA-2016-166219']"
"['CA-2018-142888' 'CA-2016-135174' 'CA-2017-141551' 'US-2017-116442'
 'CA-2015-101462']"
"['CA-2015-153976' 'CA-2017-142398' 'CA-2017-142895' 'CA-2018-154760'
 'CA-2018-156664' 'CA-2017-150483' 'CA-2018-137505']"
"['CA-2015-168130' 'US-2017-107440' 'CA-2017-149965' 'US-2015-148194'
 'US-2015-143581']"
"['US-2015-134712' 'CA-2018-116288' 'CA-2016-142475' 'US-2018-112347'
 'CA-2018-160633']"
"['CA-2015-106376' 'CA-2017-105900' 'US-2016-109015' 'CA-2015-149524'
 'CA-2015-107398' 'US-2018-109610']"
['CA-2015-126032' 'CA-2016-126725' 'CA-2017-101791']
"['CA-2015-133690' 'CA-2015-103373' 'CA-2016-126137' 'CA-2018-123778'
 'CA-2018-130631' 'CA-2018-135069' 'CA-2017-156748']"
['CA-2018-135279' 'CA-2016-122371']
"['CA-2018-115994' 'CA-2016-138002' 'CA-2016-103723' 'CA-2016-153612'
 'CA-2015-166954']"
"['CA-2016-110016' 'CA-2017-126935' 'CA-2016-111325' 'US-2016-120502'
 'CA-2015-107769' 'CA-2018-117513']"
['CA-2017-106383' 'US-2017-163461' 'CA-2015-151946' 'CA-2015-139283']
['CA-2016-165085' 'CA-2017-122511']
"['CA-2018-117212' 'CA-2015-104780' 'CA-2017-148208' 'CA-2015-146864'
 'CA-2018-123029']"
"['US-2018-161193' 'CA-2018-158967' 'CA-2016-132626' 'CA-2016-125710'
 'CA-2017-123358' 'CA-2015-121629' 'CA-2017-146423']"
"['CA-2018-104220' 'CA-2016-103793' 'CA-2017-123526' 'US-2017-168410'
 'CA-2016-156734']"
['CA-2016-119634' 'CA-2018-157413' 'CA-2015-100391']
"['CA-2016-106565' 'CA-2018-159366' 'US-2017-126844' 'CA-2018-154074'
 'CA-2017-101161' 'CA-2016-137302' 'CA-2017-127194' 'CA-2018-151855']"
"['US-2015-167633' 'CA-2018-143343' 'CA-2017-120873' 'US-2018-106579'
 'CA-2015-109897' 'CA-2017-116596']"
"['CA-2018-134649' 'CA-2016-105690' 'CA-2017-157791' 'CA-2016-161452'
 'CA-2018-122112' 'CA-2015-167997']"
"['CA-2017-168081' 'CA-2017-107328' 'CA-2016-162621' 'CA-2017-125661'
 'US-2017-164945']"
"['US-2015-111171' 'CA-2016-120362' 'CA-2017-106894' 'CA-2018-140053'
 'CA-2018-122196' 'CA-2018-106432' 'CA-2018-102610' 'CA-2015-128237']"
['US-2018-145366' 'US-2015-150434' 'CA-2018-120936' 'US-2017-116365']
"['CA-2015-145576' 'CA-2015-140858' 'US-2016-140200' 'US-2017-132857'
 'CA-2018-145653' 'CA-2018-122175' 'CA-2016-135853']"
"['CA-2015-140004' 'CA-2016-146563' 'CA-2018-100160' 'CA-2018-144484'
 'CA-2015-130869' 'CA-2018-131282' 'CA-2016-121188' 'US-2018-102904'
 'US-2018-152898']"
"['CA-2017-147417' 'CA-2018-111374' 'US-2018-157896' 'CA-2017-163398'
 'CA-2018-152660' 'CA-2017-139941' 'CA-2017-113656' 'US-2016-136259']"
"['CA-2018-136826' 'CA-2016-113971' 'CA-2017-147585' 'CA-2016-111094'
 'CA-2016-104514' 'CA-2018-161046' 'CA-2016-100146' 'US-2017-165505']"
"['CA-2017-161781' 'CA-2015-136399' 'CA-2016-108532' 'CA-2017-129308'
 'CA-2016-113040']"
"['CA-2016-132906' 'CA-2017-148201' 'CA-2016-121797' 'CA-2016-122623'
 'CA-2017-130078' 'CA-2015-141726' 'CA-2018-146185']"
"['CA-2017-155992' 'CA-2018-152695' 'CA-2017-155474' 'CA-2017-145730'
 'CA-2018-161410' 'CA-2016-147879' 'CA-2015-166891' 'US-2018-107888'
 'CA-2017-131380' 'CA-2015-161634' 'CA-2015-103527']"
"['CA-2017-154690' 'CA-2017-135265' 'CA-2017-143714' 'US-2018-155866'
 'CA-2018-106691']"
"['CA-2018-126221' 'CA-2017-116736' 'CA-2017-163384' 'CA-2017-118570'
 'CA-2018-125290' 'CA-2016-150791' 'US-2017-114888' 'CA-2018-166695'
 'CA-2018-143035' 'US-2017-148957']"
"['CA-2017-146836' 'CA-2018-100811' 'CA-2018-158344' 'US-2017-139388'
 'CA-2017-155033' 'CA-2018-144225' 'US-2018-160836' 'US-2015-163146'
 'CA-2017-158260']"
['CA-2018-169901' 'CA-2018-118542' 'CA-2018-123071']
"['CA-2017-146521' 'CA-2016-132507' 'CA-2015-124688' 'CA-2018-155957'
 'CA-2016-161445' 'CA-2017-157707' 'CA-2017-118178']"
"['CA-2018-163139' 'US-2017-100419' 'CA-2017-152121' 'CA-2017-167759'
 'CA-2018-112753' 'CA-2016-128993' 'CA-2015-154158']"
['US-2015-158057' 'CA-2016-140984' 'CA-2016-119480' 'CA-2016-109190']
"['CA-2016-101910' 'CA-2018-111556' 'CA-2015-147235' 'CA-2017-122017'
 'CA-2018-107853']"
['US-2018-119438' 'CA-2017-100083' 'CA-2018-144596']
['US-2018-132444' 'CA-2018-102925']
"['CA-2015-139857' 'CA-2017-124352' 'CA-2016-149972' 'CA-2015-166961'
 'CA-2017-145135']"
"['CA-2017-140081' 'US-2018-104955' 'CA-2017-164350' 'CA-2018-143217'
 'CA-2017-121020' 'CA-2016-161242']"
['CA-2017-152156' 'CA-2018-164098' 'US-2016-123918']
['CA-2017-109344' 'CA-2016-127110' 'CA-2016-123673']
['CA-2017-163951']
"['CA-2018-122105' 'CA-2017-122392' 'US-2017-112977' 'CA-2017-128818'
 'US-2017-161683' 'CA-2018-150469' 'CA-2018-102204' 'CA-2018-144491']"
"['US-2017-100720' 'CA-2015-166884' 'CA-2016-135363' 'CA-2015-113929'
 'CA-2018-104577' 'CA-2017-140018' 'CA-2017-110982' 'CA-2015-131541'
 'CA-2018-110443' 'CA-2018-122028' 'CA-2017-112256' 'CA-2018-110821'
 'US-2016-144771']"
"['CA-2015-104472' 'US-2015-125521' 'US-2018-135230' 'CA-2017-134789'
 'CA-2018-109085']"
"['CA-2018-138611' 'CA-2016-142237' 'CA-2018-104647' 'CA-2015-106264'
 'CA-2017-119683' 'US-2018-127341' 'CA-2017-124233' 'CA-2016-120516'
 'US-2017-167472' 'CA-2017-158610' 'CA-2018-100902']"
"['CA-2015-107755' 'CA-2015-104976' 'US-2018-117247' 'US-2018-166611'
 'US-2017-140809' 'CA-2017-101336' 'CA-2017-101630' 'CA-2016-160696'
 'CA-2016-127754']"
['CA-2018-121888' 'US-2015-155894' 'US-2018-131583' 'US-2017-150035']
"['CA-2017-128867' 'CA-2018-129567' 'CA-2015-116239' 'CA-2017-106530'
 'CA-2015-131310' 'CA-2017-134803' 'CA-2015-127936' 'CA-2018-119452'
 'CA-2016-135580' 'CA-2015-125731' 'CA-2017-118129' 'CA-2017-153178']"
['CA-2018-159604' 'CA-2017-149279' 'CA-2017-108875' 'US-2018-166037']
"['CA-2015-151554' 'CA-2015-127383' 'CA-2017-110730' 'CA-2018-140494'
 'CA-2018-121489' 'CA-2018-145765']"
['US-2017-135923' 'CA-2016-147816']
['CA-2018-100524' 'CA-2016-105361' 'CA-2018-137414' 'CA-2018-149699']
"['US-2018-139955' 'CA-2018-156412' 'CA-2017-155530' 'CA-2017-111493'
 'CA-2018-113453' 'CA-2018-162936']"
"['CA-2016-158554' 'CA-2018-165386' 'CA-2016-152527' 'CA-2016-101154'
 'US-2018-118598' 'CA-2018-146164']"
"['CA-2017-155845' 'CA-2017-101525' 'CA-2017-144309' 'US-2017-114230'
 'CA-2017-149237']"
['CA-2016-145352' 'CA-2016-128027' 'CA-2018-119746' 'CA-2018-111738']
['CA-2015-133851' 'CA-2017-145898' 'CA-2017-133697']
"['CA-2016-140410' 'CA-2017-169026' 'CA-2018-113418' 'CA-2018-143126'
 'US-2017-113677']"
['CA-2015-103492' 'CA-2015-144974' 'CA-2016-133585' 'CA-2015-104563']
"['CA-2017-128258' 'CA-2018-144064' 'CA-2018-132430' 'CA-2015-127187'
 'CA-2016-113215' 'US-2018-167402' 'CA-2016-145457' 'CA-2017-113236']"
"['CA-2018-117240' 'US-2017-108098' 'US-2015-148838' 'CA-2018-168102'
 'CA-2017-127642' 'CA-2016-105571' 'CA-2017-133613']"
['CA-2017-155551' 'CA-2017-101742' 'CA-2017-165561' 'US-2018-105998']
['CA-2015-111003' 'US-2015-112795' 'CA-2017-162159']
['CA-2017-137239' 'CA-2017-164035' 'CA-2018-116519' 'CA-2015-166716']
['US-2018-136868' 'CA-2016-128958' 'CA-2018-159149']
"['CA-2018-131828' 'CA-2016-136378' 'US-2016-138716' 'CA-2018-147452'
 'CA-2015-130575']"
"['CA-2018-158883' 'US-2015-121566' 'US-2018-123204' 'CA-2015-124618'
 'CA-2016-150413' 'CA-2018-106047']"
"['CA-2018-118640' 'CA-2017-159737' 'US-2015-141257' 'US-2015-159926'
 'CA-2017-120796' 'US-2017-151827' 'US-2018-126053' 'CA-2016-151869'
 'CA-2018-102820' 'CA-2018-144365' 'CA-2017-161746']"
['CA-2015-118962' 'US-2016-120712' 'CA-2016-102036' 'US-2017-144211']
"['US-2017-159415' 'CA-2017-157714' 'CA-2018-117632' 'CA-2015-109302'
 'CA-2018-161592']"
"['CA-2015-162775' 'CA-2016-121041' 'CA-2017-161095' 'CA-2015-101560'
 'CA-2016-149811' 'CA-2018-105487' 'CA-2018-139080' 'CA-2018-153227'
 'US-2015-169390' 'CA-2018-148992' 'CA-2016-136420' 'CA-2017-119641']"
"['CA-2016-142755' 'CA-2018-105053' 'CA-2018-165687' 'CA-2017-128111'
 'CA-2018-131233' 'CA-2018-124296' 'CA-2018-164364' 'CA-2016-139164'
 'CA-2018-111269' 'CA-2015-141005' 'CA-2015-109043']"
"['US-2018-119662' 'US-2018-100930' 'CA-2018-107293' 'CA-2017-140207'
 'CA-2015-127586' 'US-2016-119312' 'CA-2018-135111' 'CA-2017-133816'
 'CA-2018-127096']"
['US-2018-126179' 'CA-2018-148691']
['CA-2017-100671' 'CA-2017-118073' 'CA-2017-144785' 'CA-2016-128608']
"['CA-2017-121958' 'CA-2017-134208' 'CA-2016-159380' 'US-2018-115609'
 'CA-2017-108196' 'CA-2015-100860']"
"['CA-2018-162481' 'CA-2016-145849' 'US-2017-126893' 'CA-2018-137085'
 'CA-2018-158106' 'CA-2015-138681' 'CA-2015-166086' 'US-2017-141264']"
"['US-2018-117534' 'CA-2015-151792' 'CA-2017-123120' 'CA-2018-119655'
 'US-2015-137869']"
"['CA-2018-146780' 'CA-2018-157252' 'CA-2017-120859' 'CA-2018-135692'
 'CA-2018-164707' 'CA-2018-151484' 'CA-2018-146493' 'CA-2018-137582'
 'US-2017-144057']"
"['CA-2015-133753' 'CA-2016-119214' 'CA-2017-119018' 'CA-2016-156153'
 'CA-2018-152436' 'CA-2018-161655']"
"['CA-2017-166163' 'US-2015-122959' 'CA-2016-109708' 'US-2017-101616'
 'CA-2016-112144' 'CA-2018-117114' 'CA-2018-130715']"
"['CA-2015-136280' 'CA-2017-140543' 'CA-2015-162866' 'CA-2016-147501'
 'US-2015-112949']"
['US-2015-157406' 'US-2018-158512' 'US-2015-138835' 'CA-2015-115133']
"['CA-2018-155089' 'CA-2015-108707' 'CA-2018-124898' 'US-2018-159205'
 'CA-2017-137176' 'CA-2017-127985' 'CA-2018-141201' 'CA-2017-101672']"
['CA-2018-132178' 'US-2015-159618' 'CA-2017-162943' 'CA-2017-110975']
"['CA-2015-104269' 'CA-2017-127369' 'CA-2018-132353' 'CA-2015-128146'
 'CA-2017-113292' 'CA-2018-107629']"
"['CA-2018-160514' 'CA-2016-124653' 'CA-2016-130204' 'CA-2016-161998'
 'CA-2016-101889' 'CA-2016-136700' 'US-2018-148551']"
"['CA-2016-157812' 'CA-2017-149370' 'CA-2018-165841' 'US-2017-162677'
 'US-2017-134761' 'CA-2018-109960' 'CA-2017-108567' 'CA-2018-152709'
 'CA-2017-122448' 'CA-2017-158778']"
"['CA-2015-107181' 'CA-2018-122504' 'US-2016-141453' 'CA-2016-118227'
 'CA-2017-143609' 'CA-2017-163804' 'CA-2018-154011' 'US-2017-144477']"
"['CA-2017-139556' 'CA-2018-150623' 'CA-2015-100972' 'CA-2016-143882'
 'CA-2017-119123']"
['CA-2018-157091' 'CA-2018-140949' 'CA-2016-141145' 'CA-2016-129322']
"['CA-2015-151953' 'CA-2018-158036' 'US-2018-133200' 'CA-2015-114314'
 'CA-2018-104885' 'CA-2018-115882' 'CA-2015-136336']"
"['CA-2016-137946' 'CA-2018-132185' 'CA-2015-137351' 'CA-2017-115224'
 'CA-2017-135636' 'CA-2018-145779' 'CA-2018-133074']"
"['CA-2018-105886' 'CA-2018-101077' 'CA-2016-111990' 'CA-2015-104402'
 'US-2017-105830' 'CA-2018-121853' 'CA-2018-101959']"
"['CA-2018-100426' 'US-2015-160444' 'CA-2015-145212' 'US-2018-133781'
 'CA-2018-131016' 'CA-2016-143532' 'CA-2018-128363' 'CA-2018-167017'
 'CA-2017-130911']"
"['CA-2015-106803' 'CA-2018-104003' 'CA-2017-137736' 'US-2018-136189'
 'CA-2016-117884']"
"['US-2017-148334' 'CA-2018-110926' 'US-2015-104759' 'CA-2018-125640'
 'CA-2018-147844' 'CA-2015-166730']"
"['CA-2017-126529' 'CA-2016-153381' 'CA-2015-123253' 'CA-2016-142601'
 'CA-2015-109134']"
['CA-2015-153479' 'CA-2016-124933' 'CA-2017-168032']
"['US-2016-153500' 'CA-2018-123372' 'US-2017-106313' 'CA-2015-139423'
 'CA-2016-130848']"
"['CA-2015-102274' 'CA-2016-104941' 'CA-2017-166240' 'US-2018-147886'
 'CA-2016-102316']"
['CA-2016-127593' 'CA-2015-105249' 'CA-2015-156244' 'CA-2016-145324']
